time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_gender,subject,entries,91AstarG,94AstarC,97AstarA,9to5,grade9,grade8,grade7,grade6,grade5,grade4,grade3,grade2,grade1,grade99,grade98,grade88,grade87,grade77,grade76,grade66,grade65,grade55,grade54,grade44,grade43,grade33,grade32,grade22,grade21,grade11,gradeAstar,gradeA,gradeB,gradeC,gradeD,gradeE,gradeF,gradeG
200910,Academic year,National,E92000001,England,Final,Total,Hospitality and Catering,985,98.2,58.9,8.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1.1,7,23.8,27,19.2,9.5,7.4,3.1
200910,Academic year,National,E92000001,England,Final,Boys,Hospitality and Catering,339,97.9,49.3,4.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,4.1,20.6,23.9,18.9,14.2,9.7,5.9
200910,Academic year,National,E92000001,England,Final,Girls,Hospitality and Catering,646,98.3,63.9,9.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,8.5,25.4,28.6,19.3,7.1,6.2,1.7
200910,Academic year,National,E92000001,England,Final,Total,Humanities,12665,95.4,50.6,11.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2.3,8.8,18,21.6,17,13.4,8.7,5.6
200910,Academic year,National,E92000001,England,Final,Boys,Humanities,6239,94.2,44,7.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1.4,6,14.9,21.6,17.7,15.1,10.5,6.9
200910,Academic year,National,E92000001,England,Final,Girls,Humanities,6426,96.5,57.1,14.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,3.1,11.5,20.9,21.6,16.4,11.7,7,4.4
200910,Academic year,National,E92000001,England,Final,Total,Information Technology,43363,98.1,75.9,29.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8.5,20.6,22.2,24.6,12.1,5.5,2.9,1.6
200910,Academic year,National,E92000001,England,Final,Boys,Information Technology,24186,97.7,72.2,24.8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6.8,18,21.4,26,13.4,6.7,3.5,1.9
200910,Academic year,National,E92000001,England,Final,Girls,Information Technology,19177,98.6,80.5,34.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,10.6,23.8,23.3,22.8,10.4,4.1,2.2,1.3
200910,Academic year,National,E92000001,England,Final,Total,Italian,3556,99.5,87.9,59.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,38.9,21,15.2,12.9,7.2,2.7,0.9,0.7
